"layer","database","host_module","pathway_id","pathway","p.adjust","genes","n_genes"
"Epigenetics","GO_BP","Module_100__activated_receptor","GO:0070493","thrombin-activated receptor signaling pathway",0.00515338556546961,"DGKQ;F2;F2R;F2RL1;F2RL2;F2RL3;GP1BA;HPGD;IQGAP2;MET;SERPINE1;SNCA;STMN1;VPS54",14
"Epigenetics","GO_BP","Module_101__epinephrine_response","GO:0071871","response to epinephrine",0.00515338556546961,"ABL1;ADIPOQ;ATP2B4;KCNQ1;PDE4B;PDE4D;PENK;PKLR;PRKACA;RNLS;RYR2;SLC9A1;SNCA;SRD5A1",14
"Epigenetics","GO_BP","Module_101__epinephrine_response","GO:0071872","cellular response to epinephrine stimulus",0.0201771549282074,"ADIPOQ;ATP2B4;KCNQ1;PDE4B;PDE4D;PKLR;PRKACA;RYR2;SLC9A1;SNCA;SRD5A1",11
"Epigenetics","GO_BP","Module_102__maturation_synapse","GO:0060074","synapse maturation",0.00589342671909955,"ANAPC2;ARHGEF15;BCAN;C1QL2;CAMK2B;CDC20;CHRDL1;CLSTN1;CNTNAP1;CX3CR1;DAB1;DAB2IP;DISC1;DLGAP4;FGF22;FGF7;IGSF21;IGSF9;LNX1;NEFL;NEUROD2;NFATC4;NFIA;NRN1;NRXN1;PALM;RELN;SEMA7A;SEZ6;SEZ6L;SEZ6L2;SHANK1;SNX27",33
"Epigenetics","GO_BP","Module_102__maturation_synapse","GO:0090128","regulation of synapse maturation",0.0181647343371129,"ANAPC2;ARHGEF15;C1QL2;CAMK2B;CDC20;CLSTN1;CNTNAP1;DAB1;DAB2IP;DISC1;DLGAP4;FGF22;FGF7;IGSF9;NEFL;NEUROD2;NFATC4;NRN1;NRXN1;RELN;SEMA7A;SNX27",22
"Epigenetics","GO_BP","Module_103__estrogen_response","GO:0043627","response to estrogen",0.00590081352830487,"AR;ARID5A;ARPC1B;ARSB;BCAS3;CAV1;CCND1;CITED1;CITED4;CLDN18;CRH;CRHBP;CTNNA1;CYP27B1;DHH;EPO;ESR1;F7;GAL;GATA3;GATA6;GHRHR;HOXA10;HOXA11;HSP90AA1;IGFBP2;KRT19;MIR493;MME;MMP14;MMP2;NCOA4;OPRK1;PELP1;PRKAA1;RARA;RBBP5;RCAN1;SERPINB9;SFRP1;SLC34A2;SMAD6;SRD5A1;TRIM24;WBP2;WNT7A;ZNF366",47
"Epigenetics","GO_BP","Module_104__magnesium_response","GO:0032026","response to magnesium ion",0.00700655206727047,"ABCC6;ANK3;BMP6;CCND1;CNGA3;FBP1;FGF23;KCNA1;KCNC2;RYR3;SLC34A1;SLC41A1;SLFN14;SMPD3;SNCA;THBS1",16
"Epigenetics","GO_BP","Module_105__autophosphorylation_peptidyl","GO:0038083","peptidyl-tyrosine autophosphorylation",0.00786299925460337,"ALK;DDR1;IGF1R;LCK;LTK;MAPK3;NRG1;NTRK1;PTK2B;SRMS",10
"Epigenetics","GO_BP","Module_106__membrane_assembly","GO:0044854","plasma membrane raft assembly",0.00786299925460337,"CAV1;CAV2;CAV3;COL6A1;EMP2;FLOT1;ILK;IQGAP1;MIR138-1;PACSIN2",10
"Epigenetics","GO_BP","Module_106__membrane_assembly","GO:0001765","membrane raft assembly",0.00824791865561547,"ANXA2;CAV1;CAV2;CAV3;COL6A1;EMP2;FLOT1;ILK;IQGAP1;MIR138-1;PACSIN2;RFTN1;S100A10",13
"Epigenetics","GO_BP","Module_106__membrane_assembly","GO:0044857","plasma membrane raft organization",0.00824791865561547,"ABCA7;CAV1;CAV2;CAV3;COL6A1;COLEC12;EMP2;FA2H;FLOT1;ILK;IQGAP1;MIR138-1;PACSIN2",13
