"layer","database","host_module","n_sig_pathways"
"Epigenetics","GO_BP","Module_17__differentiation_immune",145
"Epigenetics","GO_BP","Module_32__development_morphogenesis",141
"Epigenetics","GO_BP","Module_21__transport_lipid",119
"Epigenetics","GO_BP","Module_2__muscle_cardiac",103
"Epigenetics","GO_BP","Module_37__morphogenesis_development",103
"Epigenetics","GO_BP","Module_24__muscle_cardiac",97
"Epigenetics","KEGG","Module_1__receptor_secretion",94
"Epigenetics","GO_BP","Module_33__development_morphogenesis",89
"Epigenetics","GO_BP","Module_23__transport_calcium",82
"Genetics","KEGG","Module_1__receptor_secretion",82
"Epigenetics","GO_BP","Module_3__growth_development",81
"Epigenetics","GO_BP","Module_43__response_stimulus",80
"Epigenetics","GO_BP","Module_60__metabolic_catabolic",73
"Epigenetics","GO_BP","Module_36__assembly_organization",69
"Epigenetics","GO_BP","Module_13__development_neuron",68
"Epigenetics","GO_BP","Module_16__response_coagulation",54
"Epigenetics","GO_BP","Module_12__localization_protein",53
"Epigenetics","GO_BP","Module_1__receptor_secretion",50
"Epigenetics","GO_BP","Module_35__secretion_protein",49
"Epigenetics","GO_BP","Module_7__vesicle_synaptic",49
"Epigenetics","GO_BP","Module_18__response_receptor",46
"Epigenetics","GO_BP","Module_47__development_circadian",46
"Epigenetics","GO_BP","Module_49__production_response",44
"Genetics","GO_BP","Module_36__assembly_organization",40
"Epigenetics","GO_BP","Module_34__endothelial_migration",39
"Genetics","GO_BP","Module_195__cycle_repair",38
"Epigenetics","GO_BP","Module_10__receptor_factor",37
"Epigenetics","GO_BP","Module_29__activity_cascade",37
"Epigenetics","GO_BP","Module_38__organization_protein",37
"Epigenetics","GO_BP","Module_6__development_differentiation",37
"Genetics","GO_BP","Module_3__growth_development",36
"Genetics","GO_BP","Module_24__muscle_cardiac",32
"Genetics","GO_BP","Module_12__localization_protein",31
"Genetics","GO_BP","Module_38__organization_protein",30
"Genetics","GO_BP","Module_18__response_receptor",29
"Epigenetics","GO_BP","Module_55__nerve_development",26
"Epigenetics","Reactome","Module_4__collagen_organization",26
"Epigenetics","GO_BP","Module_42__remodeling_tissue",25
"Genetics","GO_BP","Module_15__transport_assembly",25
"Genetics","GO_BP","Module_33__development_morphogenesis",25
"Epigenetics","GO_BP","Module_44__development_mesoderm",24
"Epigenetics","GO_BP","Module_4__collagen_organization",24
"Epigenetics","Reactome","Module_14__cascade_activation",24
"Epigenetics","GO_BP","Module_8__chemotaxis_leukocyte",23
"Genetics","GO_BP","Module_23__transport_calcium",20
"Epigenetics","GO_BP","Module_52__metabolic_biosynthetic",17
"Epigenetics","GO_BP","Module_72__amino_catabolic",17
"Genetics","GO_BP","Module_43__response_stimulus",17
"Epigenetics","GO_BP","Module_5__adhesion_junction",15
"Epigenetics","GO_BP","Module_64__renal_transport",15
"Genetics","GO_BP","Module_1__receptor_secretion",15
"Genetics","GO_BP","Module_29__activity_cascade",15
"Genetics","GO_BP","Module_7__vesicle_synaptic",15
"Epigenetics","GO_BP","Module_20__glycosylation_biosynthetic",14
"Epigenetics","GO_BP","Module_57__apoptotic_extrinsic",14
"Genetics","GO_BP","Module_199__formation_heterochromatin",14
"Genetics","GO_BP","Module_2__muscle_cardiac",14
"Epigenetics","GO_BP","Module_39__canonical_planar",13
"Epigenetics","Reactome","Module_1__receptor_secretion",13
"Genetics","GO_BP","Module_13__development_neuron",13
"Epigenetics","GO_BP","Module_40__signal_transduction",12
"Genetics","GO_BP","Module_198__transport_intracellular",12
