Node,Type
Module_1__receptor_secretion,HostModule
Module_60__metabolic_catabolic,HostModule
Module_20__glycosylation_biosynthetic,HostModule
Alanine Metabolism,Pathway
Phosphatidylinositol Phosphate Metabolism,Pathway
Purine Metabolism,Pathway
Pterine Biosynthesis,Pathway
Propanoate Metabolism,Pathway
Porphyrin Metabolism,Pathway
Plasmalogen Synthesis,Pathway
Phytanic Acid Peroxisomal Oxidation,Pathway
Phospholipid Biosynthesis,Pathway
Phosphatidylethanolamine Biosynthesis,Pathway
Pyruvate Metabolism,Pathway
Phosphatidylcholine Biosynthesis,Pathway
Pseudomonas,Microbe
Legionella,Microbe
Anoxybacillus,Microbe
Thermococcus,Microbe
Clostridioides,Microbe
Lactobacillus,Microbe
Ciceribacter,Microbe
Streptomyces,Microbe
Prevotella,Microbe
Acinetobacter,Microbe
Renibacterium,Microbe
Sporolactobacillus,Microbe
Stenotrophomonas,Microbe
Roseobacter clade NAC11-7 lineage,Microbe
Pseudomonas_E,Microbe
Epistominella,Microbe
Staphylococcus,Microbe
Spirillospora,Microbe
Emergencia,Microbe
Lysinibacillus,Microbe
Collinsella,Microbe
Dorea_A,Microbe
Chromatium,Microbe
UBA2212,Microbe
JADFMN01,Microbe
ADA,Gene
ADA2,Gene
ADCY1,Gene
ADCY10,Gene
ADCY2,Gene
ADCY3,Gene
ADCY4,Gene
ADCY5,Gene
ADCY7,Gene
ADCY8,Gene
ADCY9,Gene
ADSL,Gene
ADSS1,Gene
ADSS2,Gene
AK3,Gene
AK4,Gene
AK7,Gene
AK9,Gene
ALDH6A1,Gene
ALLC,Gene
AMPD2,Gene
AMPD3,Gene
CANT1,Gene
CDIPT,Gene
DGUOK,Gene
ENPP1,Gene
ENPP3,Gene
ENPP4,Gene
ENTPD1,Gene
ENTPD5,Gene
FIG4,Gene
GART,Gene
GDA,Gene
GUCY1A1,Gene
GUCY1A2,Gene
GUCY1B1,Gene
GUCY2C,Gene
GUCY2D,Gene
GUCY2F,Gene
IMPDH2,Gene
INPP1,Gene
INPP4A,Gene
INPP4B,Gene
INPP5A,Gene
