host_module,Gene,GeneEdgeWeight
Module_1__receptor_secretion,ADA,1.334589913340493
Module_1__receptor_secretion,ADA2,1.334589913340493
Module_1__receptor_secretion,ADCY1,1.334589913340493
Module_1__receptor_secretion,ADCY10,1.334589913340493
Module_1__receptor_secretion,ADCY2,1.334589913340493
Module_1__receptor_secretion,ADCY3,1.334589913340493
Module_1__receptor_secretion,ADCY4,1.334589913340493
Module_1__receptor_secretion,ADCY5,1.334589913340493
Module_1__receptor_secretion,ADCY7,1.334589913340493
Module_1__receptor_secretion,ADCY8,1.334589913340493
Module_1__receptor_secretion,ADCY9,1.334589913340493
Module_1__receptor_secretion,ADSL,1.334589913340493
Module_1__receptor_secretion,ADSS1,1.334589913340493
Module_1__receptor_secretion,ADSS2,1.334589913340493
Module_1__receptor_secretion,AK3,1.334589913340493
Module_1__receptor_secretion,AK4,1.334589913340493
Module_1__receptor_secretion,AK7,1.334589913340493
Module_1__receptor_secretion,AK9,1.334589913340493
Module_1__receptor_secretion,ALDH6A1,3.949001091461268
Module_1__receptor_secretion,ALLC,1.334589913340493
Module_1__receptor_secretion,AMPD2,1.334589913340493
Module_1__receptor_secretion,AMPD3,1.334589913340493
Module_1__receptor_secretion,CANT1,1.334589913340493
Module_1__receptor_secretion,CDIPT,3.949001091461268
Module_1__receptor_secretion,DGUOK,1.334589913340493
Module_1__receptor_secretion,ENPP1,1.334589913340493
Module_1__receptor_secretion,ENPP3,1.334589913340493
Module_1__receptor_secretion,ENPP4,1.334589913340493
Module_1__receptor_secretion,ENTPD1,1.334589913340493
Module_1__receptor_secretion,ENTPD5,1.334589913340493
Module_1__receptor_secretion,FIG4,3.949001091461268
Module_1__receptor_secretion,GART,1.334589913340493
Module_1__receptor_secretion,GDA,1.334589913340493
Module_1__receptor_secretion,GUCY1A1,1.334589913340493
Module_1__receptor_secretion,GUCY1A2,1.334589913340493
Module_1__receptor_secretion,GUCY1B1,1.334589913340493
Module_1__receptor_secretion,GUCY2C,1.334589913340493
Module_1__receptor_secretion,GUCY2D,1.334589913340493
Module_1__receptor_secretion,GUCY2F,1.334589913340493
Module_1__receptor_secretion,IMPDH2,1.334589913340493
Module_1__receptor_secretion,INPP1,3.949001091461268
Module_1__receptor_secretion,INPP4A,3.949001091461268
Module_1__receptor_secretion,INPP4B,3.949001091461268
Module_1__receptor_secretion,INPP5A,3.949001091461268
Module_1__receptor_secretion,INPP5B,3.949001091461268
Module_1__receptor_secretion,INPP5D,3.949001091461268
Module_1__receptor_secretion,INPP5F,3.949001091461268
Module_1__receptor_secretion,INPPL1,3.949001091461268
Module_1__receptor_secretion,IP6K3,3.949001091461268
Module_1__receptor_secretion,IPMK,3.949001091461268
Module_1__receptor_secretion,IPPK,3.949001091461268
Module_1__receptor_secretion,ITPKB,3.949001091461268
