Genus,DE_Tumor_vs_Adjacent,DE_Metastatic_vs_NonMet,RF_TissueType_Rank,RF_TissueType_Importance,RF_Metastasis_Rank,RF_Metastasis_Importance,Hub_Adjacent,Hub_Tumour,Hub_Metastatic,Hub_NonMetastatic,Stabilization_Tag,Evidence_DE_any,Evidence_RF_any,Evidence_Hub_any,ConfidenceScore,Evidence_DE_Tumor_vs_Adjacent,Evidence_DE_Metastatic_vs_NonMet,Evidence_RF_TissueType,Evidence_RF_Metastasis,MicrobeScore
Pseudomonas,Tumor_up,NonMet_up,,,2.0,10.0596049896991,1,1,1,0,1,1,1,1,3,1,1,0,1,19.0596049896991
Legionella,Tumor_up,,18.0,4.1810387808564,4.0,5.43117237781875,1,0,1,0,1,1,1,1,3,1,0,1,1,17.61221115867515
Anoxybacillus,Tumor_up,NonMet_up,,,5.0,4.58197455491161,1,0,1,0,1,1,1,1,3,1,1,0,1,12.58197455491161
Thermococcus,Tumor_up,,3.0,13.0530137223122,9.0,2.06653315176571,1,1,0,0,0,1,1,1,3,1,0,1,1,23.11954687407791
Clostridioides,Tumor_up,NonMet_up,13.0,6.7311353129378,6.0,4.38340925110317,1,0,0,0,0,1,1,1,3,1,1,1,1,19.11454456404097
Lactobacillus,,Metastatic_up,5.0,10.1998714898056,,,0,0,0,1,0,1,1,1,3,0,1,1,0,16.199871489805602
Ciceribacter,,NonMet_up,17.0,4.49141370578468,12.0,0.814781892854928,0,1,0,0,0,1,1,1,3,0,1,1,1,12.306195598639608
Streptomyces,Tumor_up,NonMet_up,6.0,10.1650563481703,,,1,1,1,0,1,1,1,1,3,1,1,1,0,19.1650563481703
Prevotella,,Metastatic_up,,,14.0,0.400598656161501,0,0,0,0,0,1,1,0,2,0,1,0,1,4.400598656161501
Acinetobacter,,Metastatic_up,15.0,5.42331560435261,,,0,0,0,0,0,1,1,0,2,0,1,1,0,9.42331560435261
Renibacterium,,NonMet_up,10.0,8.47491064832377,1.0,13.4291226657508,0,0,0,0,0,1,1,0,2,0,1,1,1,26.904033314074567
Sporolactobacillus,,,19.0,3.93917700718673,3.0,5.92357173853309,1,0,0,0,0,0,1,1,2,0,0,1,1,14.86274874571982
Stenotrophomonas,,Metastatic_up,12.0,7.11116026479422,,,0,0,0,0,0,1,1,0,2,0,1,1,0,11.11116026479422
Roseobacter clade NAC11-7 lineage,,NonMet_up,11.0,7.43837281808396,19.0,0.0,0,0,0,0,0,1,1,0,2,0,1,1,1,12.438372818083959
Pseudomonas_E,,,2.0,14.0004666151632,,,0,0,0,1,0,0,1,1,2,0,0,1,0,18.000466615163198
Epistominella,,NonMet_up,,,16.0,0.0,0,0,0,0,0,1,1,0,2,0,1,0,1,4.0
Staphylococcus,,Metastatic_up,20.0,3.68941890115951,20.0,0.0,0,0,0,0,0,1,1,0,2,0,1,1,1,8.68941890115951
Spirillospora,,,4.0,12.0383388443769,13.0,0.594233895198164,1,0,0,1,0,0,1,1,2,0,0,1,1,18.632572739575064
Emergencia,Adjacent_up,,1.0,16.6550028931498,,,0,0,0,0,0,1,1,0,2,1,0,1,0,20.6550028931498
Lysinibacillus,,,14.0,5.43256467118919,17.0,0.0,0,0,1,1,0,0,1,1,2,0,0,1,1,11.43256467118919
Collinsella,Tumor_up,,,,,,1,0,0,0,0,1,0,1,2,1,0,0,0,4.0
Dorea_A,Adjacent_up,,16.0,4.70614910323963,,,0,0,0,0,0,1,1,0,2,1,0,1,0,8.70614910323963
Chromatium,Tumor_up,,,,,,1,1,1,0,1,1,0,1,2,1,0,0,0,6.0
UBA2212,Adjacent_up,,7.0,9.52148378134368,,,0,0,0,0,0,1,1,0,2,1,0,1,0,13.52148378134368
JADFMN01,,,9.0,8.51214113998282,,,0,0,1,1,0,0,1,1,2,0,0,1,0,13.51214113998282
