Node,Type
Module_1__receptor_secretion,HostModule
Module_17__differentiation_immune,HostModule
Module_32__development_morphogenesis,HostModule
Module_24__muscle_cardiac,HostModule
Module_21__transport_lipid,HostModule
Module_3__growth_development,HostModule
Module_2__muscle_cardiac,HostModule
Module_33__development_morphogenesis,HostModule
Module_36__assembly_organization,HostModule
Module_37__morphogenesis_development,HostModule
Module_23__transport_calcium,HostModule
Module_43__response_stimulus,HostModule
Module_12__localization_protein,HostModule
Module_4__collagen_organization,HostModule
Module_13__development_neuron,HostModule
Module_18__response_receptor,HostModule
Module_60__metabolic_catabolic,HostModule
Module_16__response_coagulation,HostModule
Module_38__organization_protein,HostModule
Module_7__vesicle_synaptic,HostModule
Module_47__development_circadian,HostModule
Module_29__activity_cascade,HostModule
Module_35__secretion_protein,HostModule
Module_6__development_differentiation,HostModule
Module_49__production_response,HostModule
Module_195__cycle_repair,HostModule
Module_34__endothelial_migration,HostModule
Module_20__glycosylation_biosynthetic,HostModule
Module_10__receptor_factor,HostModule
Module_15__transport_assembly,HostModule
Module_55__nerve_development,HostModule
Module_14__cascade_activation,HostModule
Module_5__adhesion_junction,HostModule
Module_42__remodeling_tissue,HostModule
Module_8__chemotaxis_leukocyte,HostModule
Module_44__development_mesoderm,HostModule
Module_72__amino_catabolic,HostModule
Module_54__transport_anion,HostModule
Module_40__signal_transduction,HostModule
Module_63__development_cerebellar,HostModule
Module_52__metabolic_biosynthetic,HostModule
Module_64__renal_transport,HostModule
Module_57__apoptotic_extrinsic,HostModule
Module_199__formation_heterochromatin,HostModule
Module_198__transport_intracellular,HostModule
Module_39__canonical_planar,HostModule
Module_41__thermogenesis_induced,HostModule
Module_56__response_vitamin,HostModule
Module_46__response_insulin,HostModule
Module_95__apoptotic_muscle,HostModule
Module_76__acetylcholine_response,HostModule
Module_66__mirna_transcription,HostModule
Module_98__interleukin_response,HostModule
Module_91__activity_cyclase,HostModule
Module_79__nitric_oxide,HostModule
Module_50__apoptotic_neuron,HostModule
Module_51__response_compound,HostModule
Module_48__response_levels,HostModule
Module_124__factor_growth,HostModule
Module_129__translocation_lipid,HostModule
Module_65__protein_complex,HostModule
Module_80__reproductive_cilium,HostModule
Module_75__differentiation_brown,HostModule
Module_92__maintenance_population,HostModule
Module_53__response_stimulus,HostModule
Module_9__smoothened_hedgehog,HostModule
