Genus,Microbe_Direction,MicrobeScore,Obj2_Pathway,Functional_Class,Comparison,Evidence_Score,FDR,Hits,LinkScore
Anoxybacillus,Tumor_up,12.58197455491161,Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,1.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Ammonia Recycling,Other,Tumor_vs_Adjacent,3,1.0,2.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Androgen and Estrogen Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,6.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Androstenedione Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Arachidonic Acid Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Arginine and Proline Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,6.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Beta Oxidation of Very Long Chain Fatty Acids,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,2.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Beta-Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Betaine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Bile Acid Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,4.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Biotin Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Caffeine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,4.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Cardiolipin Biosynthesis,Other,Tumor_vs_Adjacent,3,1.0,1.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Carnitine Synthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,3.0,37.74592366473483
Anoxybacillus,Tumor_up,12.58197455491161,Catecholamine Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,0.606,6.0,37.74592366473483
Azonexus,Tumor_up,2.0,Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,1.0,6.0
Azonexus,Tumor_up,2.0,Ammonia Recycling,Other,Tumor_vs_Adjacent,3,1.0,2.0,6.0
Azonexus,Tumor_up,2.0,Androgen and Estrogen Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,6.0,6.0
Azonexus,Tumor_up,2.0,Androstenedione Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,6.0
Azonexus,Tumor_up,2.0,Arachidonic Acid Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,6.0
Azonexus,Tumor_up,2.0,Arginine and Proline Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,6.0,6.0
Azonexus,Tumor_up,2.0,Beta Oxidation of Very Long Chain Fatty Acids,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,2.0,6.0
Azonexus,Tumor_up,2.0,Beta-Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,6.0
Azonexus,Tumor_up,2.0,Betaine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,6.0
Azonexus,Tumor_up,2.0,Bile Acid Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,4.0,6.0
Azonexus,Tumor_up,2.0,Biotin Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,6.0
Azonexus,Tumor_up,2.0,Caffeine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,4.0,6.0
Azonexus,Tumor_up,2.0,Cardiolipin Biosynthesis,Other,Tumor_vs_Adjacent,3,1.0,1.0,6.0
Azonexus,Tumor_up,2.0,Carnitine Synthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,3.0,6.0
Azonexus,Tumor_up,2.0,Catecholamine Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,0.606,6.0,6.0
Chromatium,Tumor_up,6.0,Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,1.0,18.0
Chromatium,Tumor_up,6.0,Ammonia Recycling,Other,Tumor_vs_Adjacent,3,1.0,2.0,18.0
Chromatium,Tumor_up,6.0,Androgen and Estrogen Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,6.0,18.0
Chromatium,Tumor_up,6.0,Androstenedione Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,18.0
Chromatium,Tumor_up,6.0,Arachidonic Acid Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,18.0
Chromatium,Tumor_up,6.0,Arginine and Proline Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,6.0,18.0
Chromatium,Tumor_up,6.0,Beta Oxidation of Very Long Chain Fatty Acids,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,2.0,18.0
Chromatium,Tumor_up,6.0,Beta-Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,18.0
Chromatium,Tumor_up,6.0,Betaine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,18.0
Chromatium,Tumor_up,6.0,Bile Acid Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,4.0,18.0
Chromatium,Tumor_up,6.0,Biotin Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,18.0
Chromatium,Tumor_up,6.0,Caffeine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,4.0,18.0
Chromatium,Tumor_up,6.0,Cardiolipin Biosynthesis,Other,Tumor_vs_Adjacent,3,1.0,1.0,18.0
Chromatium,Tumor_up,6.0,Carnitine Synthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,3.0,18.0
Chromatium,Tumor_up,6.0,Catecholamine Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,0.606,6.0,18.0
Clostridioides,Tumor_up,19.11454456404097,Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,1.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Ammonia Recycling,Other,Tumor_vs_Adjacent,3,1.0,2.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Androgen and Estrogen Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,6.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Androstenedione Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Arachidonic Acid Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Arginine and Proline Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,6.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Beta Oxidation of Very Long Chain Fatty Acids,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,2.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Beta-Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Betaine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Bile Acid Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,4.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Biotin Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Caffeine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,4.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Cardiolipin Biosynthesis,Other,Tumor_vs_Adjacent,3,1.0,1.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Carnitine Synthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,3.0,57.34363369212291
Clostridioides,Tumor_up,19.11454456404097,Catecholamine Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,0.606,6.0,57.34363369212291
Collinsella,Tumor_up,4.0,Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,1.0,12.0
Collinsella,Tumor_up,4.0,Ammonia Recycling,Other,Tumor_vs_Adjacent,3,1.0,2.0,12.0
Collinsella,Tumor_up,4.0,Androgen and Estrogen Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,6.0,12.0
Collinsella,Tumor_up,4.0,Androstenedione Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,12.0
Collinsella,Tumor_up,4.0,Arachidonic Acid Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,12.0
Collinsella,Tumor_up,4.0,Arginine and Proline Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,6.0,12.0
Collinsella,Tumor_up,4.0,Beta Oxidation of Very Long Chain Fatty Acids,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,2.0,12.0
Collinsella,Tumor_up,4.0,Beta-Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,12.0
Collinsella,Tumor_up,4.0,Betaine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,12.0
Collinsella,Tumor_up,4.0,Bile Acid Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,4.0,12.0
Collinsella,Tumor_up,4.0,Biotin Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,12.0
Collinsella,Tumor_up,4.0,Caffeine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,4.0,12.0
Collinsella,Tumor_up,4.0,Cardiolipin Biosynthesis,Other,Tumor_vs_Adjacent,3,1.0,1.0,12.0
Collinsella,Tumor_up,4.0,Carnitine Synthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,3.0,12.0
Collinsella,Tumor_up,4.0,Catecholamine Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,0.606,6.0,12.0
Cutibacterium,Tumor_up,2.0,Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,1.0,6.0
Cutibacterium,Tumor_up,2.0,Ammonia Recycling,Other,Tumor_vs_Adjacent,3,1.0,2.0,6.0
Cutibacterium,Tumor_up,2.0,Androgen and Estrogen Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,6.0,6.0
Cutibacterium,Tumor_up,2.0,Androstenedione Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,6.0
Cutibacterium,Tumor_up,2.0,Arachidonic Acid Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,6.0
Cutibacterium,Tumor_up,2.0,Arginine and Proline Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,6.0,6.0
Cutibacterium,Tumor_up,2.0,Beta Oxidation of Very Long Chain Fatty Acids,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,2.0,6.0
Cutibacterium,Tumor_up,2.0,Beta-Alanine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,3.0,6.0
Cutibacterium,Tumor_up,2.0,Betaine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,6.0
Cutibacterium,Tumor_up,2.0,Bile Acid Biosynthesis,Lipid_or_Membrane,Tumor_vs_Adjacent,3,1.0,4.0,6.0
Cutibacterium,Tumor_up,2.0,Biotin Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,2.0,6.0
Cutibacterium,Tumor_up,2.0,Caffeine Metabolism,AminoAcid_or_Nitrogen,Tumor_vs_Adjacent,3,1.0,4.0,6.0
